coin,n_samples,acc,bacc,f1,auc
ADA,2025,0.5175308641975309,0.5179559088913817,0.418106015485408,0.5233370726235185
BNB,2082,0.5144092219020173,0.5146419985985595,0.5260196905766527,0.5152682036846592
BTC,1988,0.5201207243460765,0.5196356275303644,0.5571030640668524,0.5164463562753037
DOGE,1642,0.5237515225334958,0.5185282519093943,0.40396341463414637,0.5407862072242217
ETH,2082,0.5,0.501254663381304,0.49685838569357177,0.5011931784035171
SOL,1390,0.5237410071942447,0.5233070500927643,0.5037481259370314,0.5332046779750862
XRP,1992,0.5271084337349398,0.5318591067510003,0.38910505836575876,0.5423329191945269
