coin,view,fold,feature,importance
BTC,V4,1,TECH_MACD,0.025948645547032356
BTC,V4,1,TECH_MACD_SIG,0.03113454207777977
BTC,V4,1,TECH_MA5R,0.03282354027032852
BTC,V4,1,TECH_MA20R,0.04188176617026329
BTC,V4,1,TECH_MA50R,0.03188168630003929
BTC,V4,1,VOL_ATR14,0.03021113947033882
BTC,V4,1,BAND_BB_W,0.032803576439619064
BTC,V4,1,BAND_KC_W,0.02967776358127594
BTC,V4,1,PX_OBV,0.037566911429166794
BTC,V4,1,VOL_Z20,0.02746441215276718
BTC,V4,1,DERIV_OI_D1,0.03462949022650719
BTC,V4,1,DERIV_OI_PCT1,0.0433674231171608
BTC,V4,1,DERIV_FUND_Z7,0.031592004001140594
BTC,V4,1,DERIV_LSR_D1,0.0
BTC,V4,1,FLOW_LIQ_NET,0.032218340784311295
BTC,V4,1,FLOW_LIQ_ABS,0.029327578842639923
BTC,V4,1,FLOW_TAKER_IMB,0.0
BTC,V4,1,EXBAL_PCT_1D,0.031576596200466156
BTC,V4,1,SENT_FEAR,0.03265313804149628
BTC,V4,1,SENT_D_FEAR,0.023242011666297913
BTC,V4,1,WEEK_RET_1W,0.028857655823230743
BTC,V4,1,WEEK_RSI_1W,0.03768521547317505
BTC,V4,1,WEEK_MA_CROSS_1W,0.006071517243981361
BTC,V4,2,open,0.029335180297493935
BTC,V4,2,high,0.03575289249420166
BTC,V4,2,low,0.03354809433221817
BTC,V4,2,close,0.03956680744886398
BTC,V4,2,volume,0.03565187007188797
BTC,V4,2,RET_1D,0.028521746397018433
BTC,V4,2,RET_5D,0.02682643011212349
BTC,V4,2,RET_20D,0.031103039160370827
BTC,V4,2,TECH_RSI14,0.03482208773493767
BTC,V4,2,TECH_RSI30,0.04744384065270424
BTC,V4,2,TECH_MACD,0.03333161398768425
BTC,V4,2,TECH_MACD_SIG,0.02817130647599697
BTC,V4,2,TECH_MA5R,0.0287798885256052
BTC,V4,2,TECH_MA20R,0.03891078755259514
BTC,V4,2,TECH_MA50R,0.03427010029554367
BTC,V4,2,VOL_ATR14,0.033698879182338715
BTC,V4,2,BAND_BB_W,0.03143216297030449
BTC,V4,2,BAND_KC_W,0.03204543516039848
BTC,V4,2,PX_OBV,0.040516313165426254
BTC,V4,2,VOL_Z20,0.027127793058753014
BTC,V4,2,DERIV_OI_D1,0.026623155921697617
BTC,V4,2,DERIV_OI_PCT1,0.0314975343644619
BTC,V4,2,DERIV_FUND_Z7,0.03362264111638069
BTC,V4,2,DERIV_LSR_D1,0.0
BTC,V4,2,FLOW_LIQ_NET,0.03241270035505295
BTC,V4,2,FLOW_LIQ_ABS,0.02989743836224079
BTC,V4,2,FLOW_TAKER_IMB,0.0
BTC,V4,2,EXBAL_PCT_1D,0.031416963785886765
BTC,V4,2,SENT_FEAR,0.0292978473007679
BTC,V4,2,SENT_D_FEAR,0.03240102529525757
BTC,V4,2,WEEK_RET_1W,0.026650896295905113
BTC,V4,2,WEEK_RSI_1W,0.0313112847507
BTC,V4,2,WEEK_MA_CROSS_1W,0.024012230336666107
ETH,V1,1,open,0.03637515380978584
ETH,V1,1,high,0.03608427941799164
ETH,V1,1,low,0.04376717284321785
ETH,V1,1,close,0.03339286521077156
ETH,V1,1,volume,0.05328737199306488
ETH,V1,1,RET_1D,0.05229487642645836
ETH,V1,1,RET_5D,0.0359947569668293
ETH,V1,1,RET_20D,0.037100423127412796
ETH,V1,1,TECH_RSI14,0.04422074928879738
ETH,V1,1,TECH_RSI30,0.04422920197248459
ETH,V1,1,TECH_MACD,0.04034603014588356
ETH,V1,1,TECH_MACD_SIG,0.03436305746436119
ETH,V1,1,TECH_MA5R,0.03854072093963623
ETH,V1,1,TECH_MA20R,0.04143423214554787
ETH,V1,1,TECH_MA50R,0.040641456842422485
ETH,V1,1,VOL_ATR14,0.04237385839223862
ETH,V1,1,BAND_BB_W,0.041892241686582565
ETH,V1,1,BAND_KC_W,0.03628426045179367
ETH,V1,1,PX_OBV,0.046651676297187805
ETH,V1,1,VOL_Z20,0.03205907344818115
ETH,V1,1,DERIV_OI_D1,0.0
ETH,V1,1,DERIV_OI_PCT1,0.0
ETH,V1,1,DERIV_FUND_Z7,0.0
ETH,V1,1,DERIV_LSR_D1,0.0
ETH,V1,1,FLOW_LIQ_NET,0.0
ETH,V1,1,FLOW_LIQ_ABS,0.0
ETH,V1,1,FLOW_TAKER_IMB,0.0
ETH,V1,1,EXBAL_PCT_1D,0.0
ETH,V1,1,SENT_FEAR,0.0382569245994091
ETH,V1,1,SENT_D_FEAR,0.0395524688065052
ETH,V1,1,WEEK_RET_1W,0.03547247126698494
ETH,V1,1,WEEK_RSI_1W,0.04278281331062317
ETH,V1,1,WEEK_MA_CROSS_1W,0.03260187804698944
ETH,V1,2,open,0.033409204334020615
ETH,V1,2,high,0.03372752666473389
ETH,V1,2,low,0.03633928671479225
ETH,V1,2,close,0.03258538991212845
ETH,V1,2,volume,0.03863123804330826
ETH,V1,2,RET_1D,0.03759780898690224
